(793 % 8388608,1 % 2)
(932169685310834296293936189977531499643759784031722528608548901036320959521 % 9865883224636215747747194226033975441611429018950513202142588701589702024351838,1319 % 2639)
(947117344388712918411435140006790684106101026469855505314664361176392467281 % 10039295172513478441776413014330810937732164008416414951157343415334814792787042,1320 % 2641)
(962291999133104504970772038024986017912985543934530548761920506207604808121 % 10215620423325380174095066210681754842689718224537398857204852570466269721895414,1321 % 2643)
(977696900671645110572806691557402382683052020382245727907152594147205754549 % 10394905659977738003739201102384954342881766760209600339418923592567443847656250,1322 % 2645)
(993335343823872437198496524733619885129017661528552777347155152033813635121 % 10577198277261726262898766039893126186880722730545531390626143870138936442074446,1323 % 2647)
(1009210667648567800376956407293206968889004386828457686494909515081721514201 % 10762546392159050777899384638816067230501134968200973518858035943849737925986898,1324 % 2649)
(1025326255997432838644741131670050780401663345312245581497071570663783953801 % 10950998854288340833200429836453115137176244935499448067741935738990163907756902,1325 % 2651)
(1041685538075167824762620509960562900431239338946241529402458467418791152701 % 11142605256494585167841346748600220627537886467355216365717283320331135124099754,1326 % 2653)
(1058291989006019067228787502701563539462573172346353645365775700501592676289 % 11337415945583460505951698463706563018560970468678879949414655947685241699218750,1327 % 2655)
(1075149130406863525794446178749044281680735300959788294344150610909566091361 % 11535482033202423588202096510246820565965719482407929312439262671588186597950786,1328 % 2657)
(1092260530966899404981067984842954628343149238992169286740151898553734565081 % 11736855406870460392102243287539919194561432598994300782124946639188760417100758,1329 % 2659)
(1109629807034012135050378559937108410559002192164434195578399106403353415621 % 11941588741158409208564487273117125735060712005861355076919177155343277436807962,1330 % 2661)
(1127260623207885800520536293494168128681076564532298300356206531385642230481 % 12149735509021797482889058917770780074771141639145633725094071457861592009627694,1331 % 2663)
(1145156692939930732187276353224183368923472685182017948202380615631814538729 % 12361349993288155833060000150481825953674863785055267194933238911628723144531250,1332 % 2665)
(1163321779140098639729402427826411196900868390317434370998295280383984447401 % 12576487298300796429765451569985463227125091551270226653149687441042647993715526,1333 % 2667)
(1181759694790657328386388279688538023702345745189356764385424668957557859661 % 12795203361721066963696638021286116635422351903877686495968353842558910651745418,1334 % 2669)
(1200474303566997714924569420747549137363373039134146921646875465042550182241 % 13017554966491115739288555015512042256121435580183179479437565981246345576392222,1335 % 2671)
(1219469520465546535190119328652161577920373458169804794307289187814081774961 % 13243599752959228023021956694726978651379351041667863150677519755560638594931234,1336 % 2673)
(1238749312438858818014461350117366651095086277845526838035455363598801317369 % 13473396231169818641618977198101558707253996954875674418872222304344177246093750,1337 % 2675)
(1258317699037964888123801475792123657377409344657942988208470023360039446741 % 13707003793320190973870278376480197781963370076483088026035448897169849092220666,1338 % 2677)
